qid,query_text,query_token_count,positive_qrel_count,base_m32_recall@10,base_m32_success@10,base_m32_mrr@10,base_m32_ndcg@10,pca_r16_int8_recall@10,pca_r16_int8_success@10,pca_r16_int8_mrr@10,pca_r16_int8_ndcg@10,rars_r16_int8_recall@10,rars_r16_int8_success@10,rars_r16_int8_mrr@10,rars_r16_int8_ndcg@10,rars_minus_pca_recall_at_10,pca_minus_base_recall_at_10,rars_minus_base_recall_at_10,rars_minus_pca_success_at_10,pca_minus_base_success_at_10,rars_minus_base_success_at_10,rars_minus_pca_mrr_at_10,pca_minus_base_mrr_at_10,rars_minus_base_mrr_at_10,rars_minus_pca_ndcg_at_10,pca_minus_base_ndcg_at_10,rars_minus_base_ndcg_at_10,rars_vs_pca_recall_group,rars_mrr_up_recall_down_vs_pca,rars_ndcg_up_recall_down_vs_pca
156493,do goldfish grow,3,18,0.4444444444444444,1.0,1.0,0.8630152897016882,0.4444444444444444,1.0,1.0,0.866947989864271,0.4444444444444444,1.0,1.0,0.8572048559638626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009743133900408374,0.003932700162582847,-0.005810433737825527,tie,False,False
1110199,what is wifi vs bluetooth,5,6,0.6666666666666666,1.0,1.0,0.8432259314253568,0.5,1.0,1.0,0.6889109194842843,0.5,1.0,1.0,0.6889109194842843,0.0,-0.16666666666666663,-0.16666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15431501194107256,-0.15431501194107256,tie,False,False
1063750,why did the us volunterilay enter ww1,7,39,0.1538461538461538,1.0,1.0,0.6987957033953602,0.2051282051282051,1.0,1.0,0.8482378089219647,0.2051282051282051,1.0,1.0,0.8482378089219647,0.0,0.051282051282051294,0.051282051282051294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14944210552660442,0.14944210552660442,tie,False,False
130510,definition declaratory judgment,3,5,0.8,1.0,1.0,0.7646944921510597,0.6,1.0,1.0,0.7073371794979774,0.6,1.0,1.0,0.7073371794979774,0.0,-0.20000000000000007,-0.20000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057357312653082304,-0.057357312653082304,tie,False,False
489204,right pelvic pain causes,4,10,0.4,1.0,1.0,0.5146124363672937,0.4,1.0,1.0,0.7029907106179011,0.4,1.0,1.0,0.6977709637817419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0052197468361592225,0.18837827425060738,0.18315852741444816,tie,False,False
573724,what are the social determinants of health,7,6,0.6666666666666666,1.0,1.0,0.7439210898998881,0.6666666666666666,1.0,1.0,0.7559822853718005,0.6666666666666666,1.0,1.0,0.7439210898998881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012061195471912312,0.012061195471912312,0.0,tie,False,False
168216,does legionella pneumophila cause pneumonia,5,36,0.1666666666666666,1.0,1.0,0.677966795750161,0.1666666666666666,1.0,1.0,0.677966795750161,0.1944444444444444,1.0,1.0,0.7028159857295806,0.02777777777777779,0.0,0.02777777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.02484918997941954,0.0,0.02484918997941954,win,False,False
1133167,how is the weather in jamaica,6,33,0.2727272727272727,1.0,1.0,0.9305687780632228,0.303030303030303,1.0,1.0,1.0,0.303030303030303,1.0,1.0,1.0,0.0,0.030303030303030276,0.030303030303030276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0694312219367772,0.0694312219367772,tie,False,False
527433,types of dysarthria from cerebral palsy,6,11,0.4545454545454545,1.0,1.0,0.645413416735452,0.5454545454545454,1.0,1.0,0.6655562743721781,0.5454545454545454,1.0,1.0,0.6616539327382528,0.0,0.09090909090909094,0.09090909090909094,0.0,0.0,0.0,0.0,0.0,0.0,-0.0039023416339253325,0.020142857636726075,0.016240516002800742,tie,False,False
1037798,who is robert gray,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,False,False
915593,what types of food can you cook sous vide,9,15,0.1333333333333333,1.0,1.0,0.1436806014781235,0.2,1.0,1.0,0.2681057515149304,0.2,1.0,1.0,0.2681057515149304,0.0,0.06666666666666671,0.06666666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12442515003680688,0.12442515003680688,tie,False,False
264014,how long is life cycle of flea,7,27,0.3703703703703703,1.0,1.0,0.8319592741952931,0.3703703703703703,1.0,1.0,0.8275366187032203,0.3703703703703703,1.0,1.0,0.8275366187032203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00442265549207288,-0.00442265549207288,tie,False,False
1121402,what can contour plowing reduce,5,8,0.375,1.0,0.3333333333333333,0.3009805321141693,0.375,1.0,0.5,0.3913151799822054,0.375,1.0,0.5,0.3913151799822054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.0,0.09033464786803608,0.09033464786803608,tie,False,False
962179,when was the salvation army founded,6,1,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,0.125,0.3154648767857287,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-0.125,-0.20833333333333331,-0.3333333333333333,-0.3154648767857287,-0.1845351232142713,-0.5,loss,False,False
1117099,what is a active margin,5,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,False,False
148538,difference between rn and bsn,5,7,0.4285714285714285,1.0,0.5,0.2597132281975813,0.5714285714285714,1.0,0.5,0.3078147512765996,0.4285714285714285,1.0,0.5,0.2565439380786204,-0.1428571428571429,0.1428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05127081319797916,0.04810152307901827,-0.003169290118960888,loss,False,False
